Exercise_Duration,Body_Temperature(F),BPM,Height(Feet),Height(Remainder_Inches),Weight(lb),Weight_Status,Gender,Age,Calories_Burned
11.0,103.3,93.0,5.0,8.0,143.3,Normal Weight,F,38,53.0
15.0,104.5,90.0,6.0,5.0,207.2,Normal Weight,F,44,63.0
25.0,105.4,110.0,5.0,11.0,196.2,Overweight,M,61,207.0
29.0,104.9,107.0,5.0,5.0,125.7,Normal Weight,F,22,179.0
29.0,106.0,114.0,5.0,7.0,141.1,Normal Weight,F,59,217.0
25.0,105.8,97.0,4.0,9.0,110.2,Normal Weight,F,28,133.0
28.0,104.9,108.0,5.0,7.0,145.5,Normal Weight,F,67,195.0
18.0,105.1,100.0,5.0,9.0,169.8,Normal Weight,M,54,111.0
15.0,104.2,91.0,6.0,6.0,205.0,Normal Weight,M,37,65.0
22.0,105.6,106.0,5.0,11.0,174.2,Normal Weight,F,36,132.0
27.0,104.9,109.0,6.0,6.0,227.1,Overweight,M,30,187.0
8.0,103.5,94.0,5.0,6.0,156.5,Overweight,F,24,37.0
6.0,102.6,82.0,4.0,11.0,123.5,Normal Weight,F,28,22.0
2.0,101.3,84.0,5.0,5.0,132.3,Normal Weight,F,47,8.0
22.0,104.4,95.0,5.0,4.0,134.5,Normal Weight,F,24,107.0
25.0,105.3,100.0,5.0,5.0,138.9,Normal Weight,F,71,155.0
16.0,104.2,110.0,6.0,2.0,205.0,Overweight,M,32,112.0
10.0,104.0,79.0,5.0,2.0,121.3,Normal Weight,F,62,39.0
12.0,104.4,89.0,6.0,2.0,198.4,Overweight,M,32,45.0
17.0,104.5,109.0,5.0,10.0,165.3,Normal Weight,M,20,99.0
18.0,105.4,99.0,5.0,8.0,172.0,Overweight,M,29,87.0
7.0,102.9,83.0,5.0,10.0,180.8,Overweight,M,32,19.0
8.0,102.9,85.0,5.0,7.0,149.9,Normal Weight,F,20,29.0
11.0,103.3,78.0,5.0,7.0,163.1,Overweight,F,57,38.0
17.0,104.4,101.0,6.0,5.0,218.3,Overweight,M,36,101.0
24.0,105.4,98.0,5.0,8.0,163.1,Overweight,F,41,127.0
25.0,104.9,108.0,5.0,9.0,158.7,Normal Weight,F,56,167.0
11.0,103.6,103.0,5.0,7.0,174.2,Overweight,M,60,77.0
3.0,101.7,87.0,5.0,3.0,121.3,Normal Weight,F,41,13.0
24.0,105.4,108.0,6.0,6.0,220.5,Overweight,M,57,193.0
29.0,105.6,115.0,5.0,9.0,158.7,Normal Weight,F,41,207.0
20.0,104.7,98.0,5.0,4.0,134.5,Normal Weight,F,45,111.0
20.0,104.7,93.0,5.0,5.0,138.9,Normal Weight,F,62,106.0
21.0,105.4,97.0,5.0,3.0,136.7,Normal Weight,F,34,110.0
26.0,105.6,105.0,6.0,5.0,213.8,Overweight,M,29,160.0
12.0,104.0,95.0,5.0,11.0,185.2,Overweight,M,59,70.0
22.0,105.1,99.0,6.0,3.0,202.8,Overweight,M,79,166.0
7.0,102.4,86.0,6.0,6.0,222.7,Overweight,M,21,21.0
24.0,105.4,98.0,6.0,2.0,198.4,Overweight,M,31,121.0
6.0,102.4,85.0,5.0,5.0,136.7,Normal Weight,F,35,24.0
24.0,105.8,109.0,5.0,0.0,116.8,Normal Weight,F,27,157.0
5.0,102.7,83.0,6.0,3.0,196.2,Normal Weight,M,36,15.0
26.0,105.6,101.0,6.0,6.0,211.6,Normal Weight,M,26,140.0
19.0,104.2,106.0,6.0,2.0,200.6,Overweight,M,57,143.0
8.0,103.5,80.0,5.0,5.0,132.3,Normal Weight,F,55,31.0
24.0,105.3,114.0,5.0,11.0,194.0,Overweight,M,63,215.0
30.0,105.6,112.0,5.0,9.0,169.8,Overweight,F,27,195.0
11.0,104.0,95.0,5.0,2.0,123.5,Normal Weight,F,24,54.0
16.0,104.2,90.0,6.0,0.0,200.6,Overweight,M,68,90.0
19.0,104.9,99.0,6.0,2.0,172.0,Normal Weight,F,41,102.0
13.0,103.5,104.0,5.0,10.0,163.1,Normal Weight,F,30,75.0
17.0,104.4,97.0,5.0,2.0,138.9,Overweight,F,78,102.0
4.0,101.3,85.0,5.0,3.0,136.7,Normal Weight,F,61,18.0
2.0,100.9,77.0,5.0,10.0,165.3,Normal Weight,F,25,6.0
14.0,104.7,95.0,4.0,12.0,121.3,Normal Weight,F,69,80.0
22.0,104.9,97.0,5.0,7.0,154.3,Normal Weight,M,20,87.0
15.0,103.8,96.0,5.0,10.0,174.2,Overweight,M,30,67.0
16.0,104.7,95.0,6.0,1.0,191.8,Overweight,M,73,105.0
21.0,104.7,100.0,5.0,3.0,130.1,Normal Weight,F,79,134.0
12.0,104.0,96.0,5.0,1.0,119.0,Normal Weight,F,59,68.0
29.0,105.8,112.0,5.0,7.0,156.5,Normal Weight,F,21,188.0
18.0,105.1,98.0,5.0,5.0,138.9,Normal Weight,F,28,94.0
6.0,102.6,93.0,4.0,11.0,127.9,Overweight,M,36,23.0
7.0,102.4,90.0,5.0,10.0,165.3,Normal Weight,F,45,32.0
17.0,104.9,100.0,6.0,6.0,222.7,Overweight,M,43,105.0
4.0,101.3,78.0,5.0,4.0,141.1,Normal Weight,F,61,15.0
20.0,104.7,102.0,5.0,10.0,180.8,Overweight,M,30,109.0
22.0,104.9,90.0,5.0,9.0,154.3,Normal Weight,F,34,96.0
21.0,104.9,101.0,6.0,5.0,209.4,Obese,M,34,121.0
19.0,104.2,108.0,6.0,4.0,200.6,Normal Weight,M,61,152.0
3.0,101.8,85.0,5.0,10.0,160.9,Normal Weight,M,27,8.0
1.0,100.0,84.0,4.0,11.0,125.7,Overweight,F,57,4.0
13.0,104.5,94.0,5.0,4.0,147.7,Overweight,M,33,53.0
5.0,102.2,78.0,5.0,11.0,169.8,Normal Weight,F,22,14.0
8.0,102.9,87.0,5.0,9.0,163.1,Normal Weight,M,25,22.0
22.0,105.8,103.0,4.0,11.0,114.6,Normal Weight,F,22,128.0
8.0,102.9,86.0,5.0,4.0,145.5,Normal Weight,F,26,31.0
19.0,104.4,100.0,6.0,4.0,216.1,Overweight,M,43,116.0
1.0,99.9,84.0,6.0,4.0,194.0,Normal Weight,M,23,3.0
19.0,105.1,96.0,6.0,1.0,187.4,Normal Weight,M,29,86.0
11.0,104.0,88.0,6.0,2.0,196.2,Overweight,M,61,55.0
3.0,101.8,89.0,6.0,6.0,216.1,Normal Weight,M,54,15.0
17.0,104.4,87.0,5.0,3.0,134.5,Normal Weight,F,48,75.0
6.0,103.3,91.0,5.0,5.0,147.7,Normal Weight,F,58,30.0
5.0,102.6,84.0,5.0,8.0,156.5,Normal Weight,M,25,11.0
3.0,101.1,84.0,6.0,1.0,194.0,Overweight,M,53,12.0
16.0,103.6,88.0,6.0,4.0,198.4,Normal Weight,M,27,54.0
13.0,103.8,101.0,5.0,4.0,136.7,Normal Weight,F,40,75.0
29.0,105.6,103.0,5.0,2.0,125.7,Normal Weight,F,73,193.0
12.0,104.5,85.0,5.0,9.0,178.6,Overweight,M,41,40.0
11.0,103.5,95.0,4.0,11.0,119.0,Normal Weight,F,25,55.0
8.0,103.1,86.0,5.0,3.0,127.9,Normal Weight,F,27,32.0
27.0,105.4,108.0,5.0,9.0,167.6,Normal Weight,M,32,170.0
2.0,101.1,85.0,5.0,12.0,183.0,Overweight,M,73,10.0
24.0,105.6,112.0,6.0,4.0,209.4,Overweight,M,22,164.0
5.0,102.2,82.0,5.0,3.0,143.3,Overweight,F,33,18.0
12.0,104.2,100.0,5.0,1.0,116.8,Normal Weight,F,64,75.0
17.0,104.7,94.0,5.0,9.0,165.3,Normal Weight,M,24,64.0
19.0,104.4,108.0,6.0,1.0,205.0,Overweight,M,23,118.0
3.0,101.7,80.0,5.0,2.0,127.9,Normal Weight,F,27,10.0
26.0,104.9,97.0,6.0,7.0,211.6,Normal Weight,M,49,153.0
6.0,102.7,80.0,6.0,2.0,183.0,Normal Weight,F,24,18.0
4.0,101.5,87.0,5.0,5.0,141.1,Normal Weight,F,65,19.0
24.0,105.4,100.0,5.0,5.0,149.9,Overweight,F,71,147.0
2.0,101.5,76.0,5.0,5.0,147.7,Normal Weight,M,54,5.0
23.0,105.1,99.0,5.0,11.0,183.0,Overweight,M,21,105.0
30.0,105.6,106.0,5.0,2.0,134.5,Normal Weight,F,63,202.0
6.0,102.6,79.0,5.0,9.0,163.1,Normal Weight,M,76,24.0
30.0,106.0,110.0,6.0,0.0,183.0,Normal Weight,M,42,217.0
30.0,106.0,106.0,6.0,6.0,213.8,Obese,M,23,181.0
6.0,102.6,88.0,6.0,2.0,202.8,Overweight,M,24,19.0
7.0,102.4,98.0,6.0,2.0,207.2,Overweight,M,76,51.0
17.0,104.4,92.0,5.0,4.0,125.7,Normal Weight,F,43,84.0
30.0,105.8,106.0,5.0,3.0,138.9,Obese,F,33,185.0
11.0,103.1,89.0,5.0,11.0,183.0,Overweight,M,26,36.0
10.0,103.5,97.0,6.0,5.0,200.6,Normal Weight,M,21,44.0
26.0,105.4,109.0,5.0,1.0,130.1,Normal Weight,F,26,167.0
8.0,102.7,95.0,6.0,1.0,191.8,Overweight,M,25,34.0
15.0,103.6,91.0,5.0,12.0,183.0,Overweight,F,41,67.0
8.0,103.8,83.0,5.0,7.0,149.9,Normal Weight,F,23,28.0
19.0,104.9,91.0,6.0,5.0,205.0,Normal Weight,M,37,83.0
3.0,101.5,77.0,4.0,11.0,116.8,Normal Weight,F,20,9.0
16.0,104.2,91.0,5.0,4.0,125.7,Normal Weight,F,32,74.0
23.0,105.3,108.0,6.0,4.0,200.6,Normal Weight,M,65,189.0
23.0,105.1,99.0,6.0,6.0,246.9,Overweight,M,61,164.0
27.0,105.4,102.0,6.0,8.0,229.3,Overweight,M,62,201.0
8.0,103.3,75.0,6.0,6.0,224.9,Overweight,M,67,29.0
8.0,103.5,81.0,5.0,8.0,158.7,Normal Weight,F,20,25.0
10.0,103.6,101.0,6.0,3.0,196.2,Normal Weight,M,60,69.0
2.0,101.5,89.0,6.0,5.0,209.4,Normal Weight,M,28,7.0
29.0,106.3,112.0,5.0,9.0,172.0,Overweight,M,57,236.0
21.0,105.3,108.0,6.0,7.0,216.1,Normal Weight,M,40,150.0
13.0,104.0,94.0,5.0,12.0,183.0,Overweight,M,40,61.0
24.0,105.3,109.0,5.0,3.0,127.9,Normal Weight,F,71,174.0
22.0,105.3,93.0,6.0,0.0,198.4,Overweight,M,64,129.0
3.0,101.3,79.0,6.0,3.0,209.4,Overweight,M,32,7.0
6.0,102.7,84.0,5.0,5.0,138.9,Normal Weight,F,55,25.0
22.0,105.1,99.0,6.0,5.0,220.5,Overweight,M,49,138.0
12.0,103.3,93.0,6.0,0.0,165.3,Normal Weight,F,23,53.0
17.0,104.9,98.0,6.0,7.0,222.7,Overweight,M,33,91.0
26.0,104.9,97.0,5.0,10.0,178.6,Overweight,M,32,123.0
29.0,104.9,112.0,5.0,10.0,169.8,Normal Weight,M,32,201.0
11.0,104.0,101.0,5.0,4.0,134.5,Normal Weight,F,65,69.0
25.0,105.3,103.0,5.0,9.0,169.8,Overweight,M,38,146.0
11.0,103.8,90.0,6.0,4.0,205.0,Normal Weight,M,48,52.0
8.0,102.9,85.0,6.0,0.0,180.8,Normal Weight,M,32,24.0
13.0,104.5,83.0,5.0,10.0,183.0,Overweight,M,43,42.0
21.0,105.3,109.0,5.0,9.0,154.3,Normal Weight,F,37,136.0
11.0,103.8,87.0,5.0,6.0,145.5,Normal Weight,F,49,48.0
3.0,102.2,84.0,5.0,3.0,134.5,Normal Weight,F,61,13.0
11.0,103.6,91.0,5.0,10.0,191.8,Overweight,M,28,42.0
12.0,103.5,104.0,5.0,11.0,189.6,Overweight,M,54,84.0
4.0,101.7,81.0,5.0,7.0,136.7,Normal Weight,F,22,13.0
19.0,104.9,100.0,5.0,5.0,138.9,Normal Weight,F,29,104.0
12.0,103.8,87.0,5.0,3.0,141.1,Normal Weight,F,34,50.0
30.0,106.3,97.0,6.0,0.0,183.0,Normal Weight,M,30,141.0
8.0,103.6,91.0,6.0,2.0,202.8,Overweight,M,54,41.0
17.0,105.1,103.0,6.0,2.0,207.2,Overweight,M,28,98.0
10.0,104.0,91.0,5.0,7.0,138.9,Normal Weight,F,20,43.0
12.0,103.6,90.0,5.0,12.0,187.4,Overweight,M,51,56.0
9.0,104.2,90.0,5.0,2.0,121.3,Normal Weight,F,28,40.0
12.0,104.2,95.0,5.0,2.0,119.0,Normal Weight,F,64,68.0
30.0,105.8,114.0,6.0,5.0,211.6,Obese,M,24,218.0
6.0,102.9,91.0,5.0,2.0,132.3,Normal Weight,F,50,29.0
22.0,105.3,102.0,6.0,4.0,213.8,Overweight,M,67,166.0
2.0,100.2,80.0,6.0,3.0,194.0,Normal Weight,M,44,6.0
29.0,106.0,111.0,5.0,5.0,145.5,Normal Weight,F,33,193.0
10.0,103.3,89.0,6.0,0.0,169.8,Normal Weight,F,39,43.0
18.0,104.9,99.0,6.0,7.0,231.5,Overweight,M,39,106.0
30.0,105.8,110.0,5.0,3.0,136.7,Normal Weight,F,32,198.0
23.0,104.9,102.0,5.0,3.0,134.5,Normal Weight,F,57,143.0
11.0,103.5,97.0,6.0,3.0,202.8,Overweight,M,44,61.0
17.0,104.7,99.0,5.0,2.0,132.3,Normal Weight,F,43,96.0
20.0,105.3,106.0,5.0,7.0,165.3,Overweight,M,50,137.0
21.0,105.3,101.0,5.0,11.0,180.8,Overweight,M,33,114.0
19.0,105.1,98.0,5.0,11.0,200.6,Overweight,M,73,135.0
22.0,105.3,99.0,5.0,3.0,127.9,Normal Weight,F,33,121.0
24.0,105.3,100.0,5.0,10.0,158.7,Normal Weight,F,75,148.0
29.0,106.2,115.0,6.0,7.0,233.7,Overweight,M,36,238.0
16.0,104.7,90.0,6.0,2.0,196.2,Overweight,M,36,65.0
12.0,103.3,92.0,5.0,4.0,132.3,Normal Weight,F,31,56.0
2.0,101.3,79.0,5.0,1.0,116.8,Normal Weight,F,27,7.0
4.0,101.8,84.0,6.0,4.0,207.2,Overweight,M,35,13.0
24.0,105.4,106.0,5.0,4.0,141.1,Normal Weight,F,59,159.0
29.0,105.6,112.0,6.0,1.0,198.4,Overweight,M,63,252.0
16.0,104.4,96.0,5.0,7.0,154.3,Normal Weight,M,29,67.0
7.0,103.3,85.0,6.0,3.0,198.4,Obese,M,61,32.0
22.0,104.9,104.0,5.0,10.0,180.8,Overweight,M,67,165.0
8.0,103.6,79.0,5.0,6.0,152.1,Normal Weight,M,39,17.0
29.0,105.6,112.0,6.0,0.0,185.2,Overweight,M,23,193.0
3.0,101.3,73.0,6.0,3.0,196.2,Normal Weight,M,24,3.0
29.0,105.4,104.0,5.0,12.0,183.0,Overweight,M,37,177.0
7.0,102.9,80.0,5.0,3.0,141.1,Overweight,F,62,27.0
6.0,102.9,82.0,6.0,8.0,224.9,Obese,M,31,17.0
20.0,105.1,96.0,5.0,6.0,158.7,Overweight,F,39,102.0
18.0,104.5,91.0,4.0,10.0,101.4,Normal Weight,F,29,85.0
3.0,102.0,91.0,4.0,10.0,125.7,Overweight,F,70,16.0
11.0,103.6,94.0,5.0,3.0,136.7,Normal Weight,F,72,62.0
7.0,102.6,88.0,5.0,8.0,145.5,Normal Weight,F,21,28.0
29.0,105.4,105.0,6.0,5.0,220.5,Overweight,M,50,210.0
29.0,105.3,109.0,5.0,8.0,149.9,Normal Weight,F,70,205.0
4.0,102.0,84.0,5.0,11.0,185.2,Overweight,M,52,15.0
15.0,104.2,90.0,6.0,0.0,185.2,Normal Weight,M,72,85.0
9.0,103.8,94.0,6.0,1.0,183.0,Normal Weight,M,21,34.0
2.0,100.6,78.0,6.0,3.0,191.8,Normal Weight,M,33,4.0
17.0,104.4,96.0,6.0,4.0,220.5,Overweight,M,73,119.0
9.0,102.9,88.0,4.0,12.0,119.0,Normal Weight,F,66,45.0
29.0,105.3,114.0,6.0,5.0,218.3,Overweight,M,35,228.0
22.0,104.2,102.0,6.0,1.0,189.6,Normal Weight,F,62,131.0
3.0,101.1,88.0,5.0,1.0,123.5,Normal Weight,F,30,13.0
24.0,104.4,108.0,6.0,6.0,224.9,Overweight,M,41,175.0
19.0,104.7,101.0,4.0,9.0,110.2,Normal Weight,F,20,106.0
19.0,104.9,109.0,5.0,9.0,165.3,Normal Weight,M,21,112.0
3.0,101.1,90.0,6.0,5.0,191.8,Normal Weight,M,29,11.0
11.0,103.1,100.0,5.0,7.0,163.1,Overweight,M,24,51.0
24.0,106.0,107.0,6.0,1.0,205.0,Overweight,M,73,204.0
23.0,105.3,103.0,5.0,9.0,147.7,Normal Weight,F,36,135.0
24.0,105.8,96.0,6.0,4.0,196.2,Normal Weight,M,21,102.0
14.0,103.8,91.0,5.0,4.0,136.7,Normal Weight,F,21,61.0
29.0,105.4,108.0,5.0,5.0,152.1,Overweight,F,64,199.0
16.0,104.5,101.0,5.0,5.0,149.9,Normal Weight,F,44,92.0
6.0,103.1,94.0,6.0,7.0,233.7,Overweight,M,28,28.0
7.0,101.8,83.0,5.0,8.0,156.5,Normal Weight,F,56,28.0
27.0,106.0,99.0,5.0,4.0,127.9,Normal Weight,F,28,146.0
4.0,101.8,83.0,5.0,7.0,136.7,Normal Weight,F,20,14.0
21.0,104.9,97.0,5.0,2.0,136.7,Normal Weight,F,23,106.0
23.0,104.5,103.0,5.0,6.0,138.9,Normal Weight,F,21,130.0
19.0,104.9,99.0,5.0,4.0,145.5,Normal Weight,F,22,99.0
5.0,101.7,89.0,6.0,3.0,191.8,Normal Weight,M,46,22.0
4.0,101.3,86.0,4.0,12.0,123.5,Normal Weight,F,51,18.0
24.0,105.4,97.0,5.0,10.0,169.8,Normal Weight,M,31,111.0
27.0,106.0,116.0,5.0,7.0,152.1,Normal Weight,F,27,190.0
24.0,104.9,106.0,6.0,4.0,209.4,Overweight,M,28,149.0
7.0,102.9,93.0,5.0,5.0,156.5,Overweight,M,62,38.0
15.0,103.8,105.0,6.0,0.0,196.2,Overweight,M,31,91.0
15.0,104.5,94.0,5.0,10.0,174.2,Normal Weight,F,40,72.0
16.0,104.5,95.0,5.0,8.0,136.7,Normal Weight,F,44,83.0
22.0,105.6,98.0,5.0,10.0,172.0,Normal Weight,M,34,109.0
2.0,100.2,69.0,6.0,4.0,205.0,Normal Weight,M,25,1.0
21.0,104.9,98.0,6.0,2.0,207.2,Overweight,M,55,132.0
22.0,105.1,103.0,5.0,7.0,163.1,Overweight,M,59,150.0
5.0,102.0,79.0,5.0,5.0,138.9,Normal Weight,F,27,16.0
4.0,101.7,79.0,4.0,9.0,103.6,Normal Weight,F,61,16.0
15.0,104.7,85.0,5.0,10.0,180.8,Overweight,M,42,52.0
13.0,104.0,95.0,6.0,0.0,178.6,Normal Weight,F,45,65.0
24.0,105.1,93.0,5.0,11.0,194.0,Overweight,M,34,105.0
11.0,102.7,94.0,5.0,7.0,143.3,Normal Weight,F,48,56.0
23.0,105.1,96.0,5.0,7.0,143.3,Normal Weight,F,26,114.0
25.0,104.7,105.0,5.0,10.0,176.4,Obese,M,64,187.0
9.0,103.5,98.0,6.0,4.0,205.0,Obese,M,22,42.0
3.0,101.3,82.0,6.0,2.0,187.4,Normal Weight,F,69,12.0
18.0,104.0,100.0,5.0,11.0,183.0,Overweight,M,65,123.0
13.0,104.4,89.0,5.0,5.0,125.7,Normal Weight,F,36,58.0
10.0,103.1,83.0,6.0,1.0,196.2,Overweight,M,55,39.0
21.0,104.5,104.0,5.0,3.0,141.1,Overweight,F,38,127.0
25.0,105.6,99.0,5.0,4.0,143.3,Normal Weight,F,64,149.0
14.0,104.7,94.0,5.0,2.0,125.7,Normal Weight,F,23,67.0
21.0,104.9,100.0,5.0,1.0,114.6,Normal Weight,F,36,120.0
27.0,105.4,118.0,5.0,5.0,145.5,Normal Weight,M,31,204.0
18.0,104.5,102.0,5.0,6.0,163.1,Overweight,M,71,130.0
14.0,104.9,96.0,5.0,6.0,138.9,Normal Weight,F,23,69.0
9.0,103.5,93.0,5.0,9.0,178.6,Overweight,M,42,42.0
21.0,104.7,103.0,5.0,2.0,132.3,Normal Weight,F,51,130.0
13.0,104.2,96.0,5.0,4.0,134.5,Normal Weight,F,34,67.0
16.0,103.8,99.0,5.0,6.0,138.9,Normal Weight,F,36,88.0
12.0,103.5,96.0,5.0,6.0,156.5,Overweight,F,78,69.0
12.0,103.5,94.0,5.0,1.0,114.6,Normal Weight,F,22,58.0
10.0,104.2,94.0,6.0,2.0,194.0,Normal Weight,M,26,42.0
26.0,105.1,105.0,5.0,5.0,143.3,Normal Weight,F,63,171.0
22.0,105.1,100.0,5.0,9.0,172.0,Overweight,M,70,153.0
30.0,106.3,112.0,5.0,7.0,143.3,Normal Weight,F,24,199.0
8.0,102.7,93.0,5.0,7.0,172.0,Overweight,M,61,44.0
